"Marca temporal","Semestre que cursas actualmente","Carrera","¿Has usado ChatGPT o alguna IA generativa para actividades académicas?","¿Con qué frecuencia usas ChatGPT o IA generativa para actividades académicas?","Uso ChatGPT o IA generativa para resolver dudas académicas.","Uso ChatGPT o IA generativa para comprender mejor temas difíciles.","Uso ChatGPT o IA generativa para organizar tareas, trabajos o proyectos.","Uso ChatGPT o IA generativa para generar ideas, ejemplos o explicaciones relacionadas con mis materias.","ChatGPT o la IA generativa me ayuda a mantenerme motivado cuando trabajo en actividades académicas.","Usar ChatGPT o IA generativa me anima a seguir aprendiendo sobre temas que me interesan.","ChatGPT o IA generativa me ayuda a sentir que puedo avanzar cuando una tarea me parece difícil.","Usar ChatGPT o IA generativa hace que algunas actividades académicas me resulten más interesantes.","ChatGPT o IA generativa me ayuda a encontrar valor o utilidad personal en mis tareas académicas.","Cuando me siento bloqueado o desmotivado, ChatGPT o IA generativa me ayuda a retomar el trabajo académico."
"2026/06/05 8:31:43 p.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","4","2","3","2","2","3","1","2","3"
"2026/06/07 5:56:42 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","2","4","4","4","4","4","4","1"
"2026/06/07 5:57:04 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","2","3","2","1","3","2","2","4"
"2026/06/07 5:57:48 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","3","4","3","3","4","3","3","2"
"2026/06/07 5:57:58 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","4","4","4","2","2","3","2","2","4"
"2026/06/07 6:00:18 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","2","4","2","4","4","4","4","4","1","1"
"2026/06/07 6:00:18 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","3","2","3","3","4","3","3","3"
"2026/06/07 6:04:14 p.m. GMT-6","5 semestre","Ingeniería en Sistemas Computacionales","Sí","Algunas veces","4","4","4","3","1","1","1","2","1","1"
"2026/06/07 6:04:16 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","4","3","3","2","2","4","3","3","3"
"2026/06/07 6:06:20 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","3","3","2","1","3","3","4","3","2"
"2026/06/07 6:07:57 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","3","3","2","3","3","2","3","2"
"2026/06/07 6:10:03 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","4","4","4","4","3","3"
"2026/06/07 6:10:25 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","4","3","2","2","4","3","3","3","1"
"2026/06/07 6:10:56 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","1","4","2","4","4","2","2","3"
"2026/06/07 6:11:50 p.m. GMT-6","5 semestre","Ingeniería en Sistemas Computacionales","Sí","Algunas veces","4","4","2","3","2","4","4","3","2","3"
"2026/06/07 6:13:21 p.m. GMT-6","5 semestre","Ingeniería Matemática","Sí","Algunas veces","4","4","1","1","1","1","3","1","1","3"
"2026/06/07 6:15:12 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","3","3","3","3","3","3","3","3","3"
"2026/06/07 6:16:30 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","2","2","3","2","4","2","3","3"
"2026/06/07 6:16:38 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","4","2","3","3","3","4","3","3","1"
"2026/06/07 6:18:16 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","3","3","3","3","2","4","4","3","1"
"2026/06/07 6:18:31 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","2","4","4","4","4","4","4","4"
"2026/06/07 6:19:36 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","4","4","4","4","4","4"
"2026/06/07 6:19:44 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","4","4","4","4","3","3"
"2026/06/07 6:21:41 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","4","4","3","3","4","1"
"2026/06/07 6:24:42 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","3","3","2","2","3","3","1","2"
"2026/06/07 6:29:34 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","3","4","4","4","4","2"
"2026/06/07 6:30:57 p.m. GMT-6","6 semestre","Ingeniería en Sistemas Computacionales","Sí","Frecuentemente","4","3","2","3","1","1","2","3","3","1"
"2026/06/07 6:32:52 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","2","3","4","2","2","3"
"2026/06/07 6:35:25 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","3","4","4","3","4","4"
"2026/06/07 6:35:30 p.m. GMT-6","4 semestre","Ingeniería en Sistemas Ambientales","Sí","Algunas veces","2","2","3","2","2","1","3","2","2","3"
"2026/06/07 6:35:52 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","3","3","4","3","2","4"
"2026/06/07 6:43:43 p.m. GMT-6","5 semestre","Química ","Sí","Frecuentemente","3","3","2","3","1","2","3","2","1","1"
"2026/06/07 6:47:12 p.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","3","4","2","4","4","4","4","3"
"2026/06/07 6:53:13 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","4","3","3","3","4","4","4","4"
"2026/06/07 6:53:33 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","4","3","3","3","3","3","3","3","3"
"2026/06/07 6:57:42 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","4","2","3","2","4","4","3","3","3"
"2026/06/07 7:00:41 p.m. GMT-6","2 semestre","Qfb","Sí","Algunas veces","3","4","3","3","2","3","2","2","4","1"
"2026/06/07 7:03:54 p.m. GMT-6","8 semestre","Mercadotecnia digital ","Sí","Frecuentemente","4","4","3","3","2","3","4","3","4","3"
"2026/06/07 7:08:32 p.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","2","4","4","4","4","4","4","4"
"2026/06/07 7:11:00 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","4","4","3","4","4","4","3","3"
"2026/06/07 7:13:45 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","3","3","3","3","3","3"
"2026/06/07 7:15:58 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","4","3","4","4","4","3","3","3","2"
"2026/06/07 7:16:13 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","3","4","2","3","3","2","1","3"
"2026/06/07 7:18:01 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","3","3","3","3","3","3","3","2","3"
"2026/06/07 7:18:33 p.m. GMT-6","3 semestre","Mecanica","Sí","Frecuentemente","4","4","4","4","3","4","4","4","4","3"
"2026/06/07 7:27:09 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","3","3","3","2","3","4","3","3","2"
"2026/06/07 7:32:09 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","3","3","2","4","3","2","2","3"
"2026/06/07 7:38:35 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","2","2","4","4","4","4"
"2026/06/07 7:39:06 p.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","4","4","3","4","4","4","4","4"
"2026/06/07 8:17:35 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","2","4","3","4","4","3","3","4"
"2026/06/07 8:48:16 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","1","2","3","4","1","4","1","3","4"
"2026/06/07 8:55:43 p.m. GMT-6","2 semestre","Medicina Veterinaria y Zootecnia ","Sí","Frecuentemente","4","4","4","4","3","4","4","4","4","4"
"2026/06/07 8:58:31 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","3","4","2","1","1","3","3","2","3"
"2026/06/07 9:08:09 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","1","1","3","1","3","2","1","2","3","2"
"2026/06/07 9:18:52 p.m. GMT-6","6 semestre","Ingeniería Aeronáutica ","Sí","Algunas veces","2","2","3","3","1","2","2","2","1","2"
"2026/06/07 9:39:33 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","2","3","4","4","3","3"
"2026/06/07 10:14:24 p.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","1","1","1","1","3","3","1","1"
"2026/06/07 10:18:52 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","3","2","3","2","2","3","3","3","1"
"2026/06/07 10:55:28 p.m. GMT-6","4 semestre","Química farmacéutica ","Sí","Algunas veces","3","2","3","3","1","2","3","4","3","3"
"2026/06/07 11:14:29 p.m. GMT-6","6 semestre","Ingeniería en Ciencia de Datos","Sí","Frecuentemente","4","4","2","3","1","3","4","4","2","3"
"2026/06/08 7:55:41 a.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","3","4","1","1","3","3","3","1"
"2026/06/08 2:00:43 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","4","4","4","4","4","4","4","3"
"2026/06/08 3:33:01 p.m. GMT-6","7 semestre","QBP","Sí","Frecuentemente","3","4","3","4","3","4","3","4","4","4"
"2026/06/08 3:33:05 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","1","2","3","3","4","3","3","2"
"2026/06/08 4:55:39 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","3","3","4","3","3","4"
"2026/06/08 8:53:24 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","3","4","4","3","2","3"
"2026/06/09 7:10:25 a.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","3","3","4","3","4","3","4","3","4"
"2026/06/09 8:23:42 a.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","2","3","2","4","1","2","2","2","2","2"
"2026/06/09 8:25:10 a.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","3","4","4","4","3","3","4","4"
"2026/06/09 8:36:25 a.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","4","4","4","4","4","4"
"2026/06/09 10:04:00 a.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","4","4","2","3","3","2","1","3"
"2026/06/09 11:22:29 a.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","1","1","4","4","1","4","1","2","3"
"2026/06/09 8:36:58 p.m. GMT-6","4 semestre","Ingeniería en Sistemas Computacionales","Sí","Muy frecuentemente","4","4","4","4","4","4","4","4","4","1"
"2026/06/09 8:48:19 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","2","2","2","2","2","2","2","2","2","2"
"2026/06/09 9:49:38 p.m. GMT-6","6 semestre","LMD","Sí","Frecuentemente","4","4","4","3","2","3","4","2","3","4"
"2026/06/09 10:36:10 p.m. GMT-6","5 semestre","Ingeniería en Sistemas Computacionales","Sí","Frecuentemente","4","4","3","4","4","4","4","4","4","4"
"2026/06/10 11:47:18 a.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","2","2","3","2","3","3","2","2","2"
"2026/06/11 7:38:52 p.m. GMT-6","5 semestre","Ingeniería en Ciencia de Datos","Sí","Muy frecuentemente","4","2","4","3","4","4","2","3","2","4"